MZ,LOTE,AREA,PRECIO,CONDICION,ASESOR,LADO_1,LADO_2,LADO_3,LADO_4,FRENTE_LADO,ES_ESQUINA,AL_LADO_PARQUE
B,25,120.00 m2,"S/ 31,200.00",,,20.00,5.97,20.00,5.97,,,
B,26,120.00 m2,"S/ 31,200.00",,,20.00,6.00,20.00,6.00,,,
B,27,120.00 m2,"S/ 31,200.00",,,20.00,5.97,20.00,5.97,,,
B,28,120.00 m2,"S/ 31,200.00",,,20.00,6.00,20.00,6.00,,,
B,29,120.00 m2,"S/ 31,200.00",,,20.00,5.97,20.00,5.97,,,
B,30,120.00 m2,"S/ 31,200.00",,,20.00,6.00,20.00,6.00,,,
B,31,120.00 m2,"S/ 31,200.00",,,20.00,5.97,20.00,5.97,,,
B,32,120.00 m2,"S/ 31,200.00",,,20.00,6.00,20.00,6.00,,,
B,33,120.00 m2,"S/ 31,200.00",,,20.00,5.97,20.00,5.97,,,
B,34,120.00 m2,"S/ 31,200.00",,,20.00,6.00,20.00,6.00,,,
B,35,120.00 m2,"S/ 31,200.00",,,20.00,5.97,20.00,5.97,,,
B,36,138.16 m2,"S/ 43,105.92",SEPARADO,PAOLA,20.01,6.64,20.00,7.14,,,
C,1,127.38 m2,"S/ 39,742.56",,,5.99,21.12,5.99,21.24,,,
C,2,128.18 m2,"S/ 33,326.80",,,5.99,21.24,5.99,21.40,,,
C,3,128.99 m2,"S/ 33,537.40",,,6.02,21.40,6.02,21.53,,,
C,4,129.80 m2,"S/ 33,748.00",,,5.99,21.53,5.99,21.66,,,
C,5,130.61 m2,"S/ 33,958.60",,,6.02,21.66,6.02,21.78,,,
C,6,131.41 m2,"S/ 34,166.60",,,5.99,21.78,5.99,21.91,,,
C,7,132.22 m2,"S/ 34,377.20",,,6.02,21.91,6.02,22.07,,,
C,8,149.51 m2,"S/ 46,647.12",SEPARADO,PAOLA,18.00,8.10,18.00,8.48,,,
C,9,126.00 m2,"S/ 32,760.00",,,18.00,6.99,18.00,6.99,,,
C,10,126.00 m2,"S/ 32,760.00",,,18.00,6.99,18.00,6.99,,,
C,11,126.00 m2,"S/ 32,760.00",,,18.00,6.99,18.00,6.99,,,
C,12,126.00 m2,"S/ 32,760.00",SEPARADO,MARTIN,18.00,6.99,18.00,6.99,,,
C,13,135.00 m2,"S/ 47,385.00",SEPARADO,MARTIN,18.00,7.46,18.00,7.46,,,
C,14,129.00 m2,"S/ 33,540.00",,,6.02,21.43,6.02,21.43,,,
C,15,129.00 m2,"S/ 33,540.00",,,5.99,21.43,5.99,21.43,,,
C,16,129.00 m2,"S/ 33,540.00",,,6.02,21.43,6.02,21.43,,,
C,17,129.00 m2,"S/ 33,540.00",,,5.99,21.43,5.99,21.43,,,
C,18,129.00 m2,"S/ 33,540.00",,,6.02,21.43,6.02,21.43,,,
C,19,129.00 m2,"S/ 33,540.00",,,5.99,21.43,5.99,21.43,,,
C,20,129.00 m2,"S/ 40,248.00",,,5.99,21.43,5.99,21.43,,,
D,1,120.00 m2,"S/ 42,120.00",VENDIDO,JOHAN,6.02,19.94,6.02,19.94,,,
D,2,120.00 m2,"S/ 31,200.00",VENDIDO,JOHAN,5.99,19.94,5.99,19.94,,,
D,3,120.00 m2,"S/ 31,200.00",VENDIDO,JOHAN,6.02,19.94,6.02,19.94,,,
D,4,120.00 m2,"S/ 31,200.00",,,7.97,5.99,19.94,5.99,,,
D,5,168.32 m2,"S/ 52,515.84",SEPARADO,MARTIN,20.86,7.97,21.24,7.98,,,
D,6,128.29 m2,"S/ 33,355.40",,,21.24,6.00,21.53,6.01,,,
D,7,130.05 m2,"S/ 33,813.00",,,21.53,5.97,21.85,5.98,,,
D,8,131.81 m2,"S/ 34,270.60",,,21.85,6.00,22.13,6.01,,,
D,9,133.57 m2,"S/ 34,728.20",,,22.14,5.97,22.42,5.98,,,
D,10,180.83 m2,"S/ 56,160.00",,,22.42,8.00,22.80,8.01,,,
D,11,120.00 m2,"S/ 31,200.00",VENDIDO,JOHAN,5.99,19.97,5.99,19.97,,,
D,12,120.00 m2,"S/ 31,200.00",VENDIDO,JOHAN,6.02,19.97,6.02,19.97,,,
D,13,120.00 m2,"S/ 31,200.00",VENDIDO,JOHAN,5.99,19.97,5.99,19.97,,,
D,14,120.00 m2,"S/ 42,120.00",VENDIDO,PAOLA,6.02,19.97,6.02,19.97,,,
E,1,120.00 m2,"S/ 37,440.00",,,5.99,19.94,5.99,19.94,,,
E,2,120.00 m2,"S/ 31,200.00",,,5.99,19.94,5.99,19.94,,,
E,3,120.00 m2,"S/ 31,200.00",,,6.02,19.94,6.02,19.94,,,
E,4,120.00 m2,"S/ 31,200.00",,,5.99,19.94,5.99,19.94,,,
E,5,120.00 m2,"S/ 31,200.00",,,6.02,19.94,6.02,19.94,,,
E,6,120.00 m2,"S/ 31,200.00",VENDIDO,,5.99,19.94,5.99,19.94,,,
E,7,120.00 m2,"S/ 31,200.00",VENDIDO,,6.02,19.94,6.02,19.94,,,
E,8,144.00 m2,"S/ 50,544.00",VENDIDO,,18.00,7.97,18.00,7.97,,,
E,9,108.00 m2,"S/ 36,504.00",VENDIDO,JOHAN,18.00,6.00,18.00,6.00,,,
E,10,108.00 m2,"S/ 36,504.00",VENDIDO,JOHAN,18.00,5.97,18.00,5.97,,,
E,11,108.00 m2,"S/ 36,504.00",VENDIDO,JOHAN,18.00,6.00,18.00,6.00,,,
E,12,108.00 m2,"S/ 36,504.00",SEPARADO,JOHAN,18.00,5.97,18.00,5.97,,,
E,13,144.00 m2,"S/ 50,544.00",SEPARADO,MARTIN,18.00,8.00,18.00,8.00,,,
E,14,120.00 m2,"S/ 31,200.00",VENDIDO,,6.02,19.97,6.02,19.97,,,
E,15,120.00 m2,"S/ 31,200.00",VENDIDO,,5.99,19.97,5.99,19.97,,,
E,16,120.00 m2,"S/ 31,200.00",,,6.02,19.97,6.02,19.97,,,
E,17,120.00 m2,"S/ 31,200.00",,,5.99,19.97,5.99,19.97,,,
E,18,120.00 m2,"S/ 31,200.00",,,6.02,19.97,6.02,19.97,,,
E,19,120.00 m2,"S/ 31,200.00",,,5.99,19.97,5.99,19.97,,,
E,20,120.00 m2,"S/ 37,440.00",,,5.99,19.97,5.99,19.97,,,
F,1,120.00 m2,"S/ 42,120.00",VENDIDO,JOHAN,6.02,19.97,6.02,19.97,,,
F,2,120.00 m2,"S/ 40,560.00",VENDIDO,JOHAN,5.99,19.97,5.99,19.97,,,
F,3,120.00 m2,"S/ 40,560.00",,,5.99,19.97,5.99,19.97,,,
F,4,120.00 m2,"S/ 40,560.00",,,6.02,19.97,6.02,19.97,,,
F,5,120.00 m2,"S/ 40,560.00",,,5.99,19.97,5.99,19.97,,,
